gRNA,gene,T0_F,T0_M,T1_F,T1_M
Brie_Cir1_2,Cir1,107.602218285563,137.840388994136,95.8921212570089,33.8436468014374
Brie_Cir1_3,Cir1,353.33117615626,284.419079880387,155.411761398585,21.1085100840424
Brie_Cir1_4,Cir1,176.927985729531,169.97700818966,126.513157985794,103.791860413398
Brie_Mfap1b_1,Mfap1b,139.691125493539,122.486226489608,0.96690739777454,41.8268668332372
Brie_Mfap1b_2,Mfap1b,135.401164636857,120.879395529832,20.1050553532653,20.1581267469234
Brie_Mfap1b_3,Mfap1b,118.4129196444,103.382791745602,23.1671590261439,0.01
Brie_Mfap1b_4,Mfap1b,204.555333646558,204.97021575812,12.6411776506239,7.0428366946808
Brie_Gfm1_1,Gfm1,156.679370485996,157.122360511451,0.201381479554908,10.0840633734617
Brie_Gfm1_2,Gfm1,213.478452228454,253.710754871331,86.5144287588184,105.122397085364
Brie_Gfm1_3,Gfm1,239.561414237076,228.894143381454,11.6842702528494,29.0917301158422
Brie_Gfm1_4,Gfm1,107.087422982762,98.5622988662736,11.3015072937396,0.01
Brie_Mrpl3_1,Mrpl3,249.342524990309,203.006311251727,103.930143398315,418.558821667219
Brie_Mrpl3_2,Mrpl3,107.259021417029,113.737924597493,1.15828887732945,376.741954833982
Brie_Mrpl3_3,Mrpl3,233.040673734921,222.109745995733,165.937742774105,635.056145862934
Brie_Mrpl3_4,Mrpl3,146.211865995694,167.298956590033,0.392762959109816,18.2573600726853
Brie_Sfswap_1,Sfswap,93.8743435441838,87.1359453745318,0.201381479554908,0.390153334847611
Brie_Sfswap_2,Sfswap,258.437242006473,243.534158792749,0.01,21.2985867514662
Brie_Sfswap_3,Sfswap,144.839078521556,127.306719368937,96.6576471752285,7.99322003179983
Brie_Sfswap_4,Sfswap,235.443051814662,242.284401379589,121.345858037812,7.99322003179983
Brie_Rpap3_1,Rpap3,173.496017044186,193.722399039686,102.97323600054,86.3048070104077
Brie_Rpap3_2,Rpap3,180.874749717678,218.003400209638,188.329375882029,359.825131433264
Brie_Rpap3_3,Rpap3,215.537633439661,153.194551498664,4.98591846842761,342.528154697697
Brie_Rpap3_4,Rpap3,149.129039378237,132.305749021574,0.584144438664724,112.345310447469
Brie_Ctnnbl1_1,Ctnnbl1,277.656266644405,275.849314761581,643.81729722271,257.75396102668
Brie_Ctnnbl1_2,Ctnnbl1,132.312392820047,147.659911526102,0.584144438664724,48.859703527918
Brie_Ctnnbl1_3,Ctnnbl1,219.484397427808,228.537069834837,1.15828887732945,87.0651136801029
Brie_Ctnnbl1_4,Ctnnbl1,112.750171313581,107.310600758389,71.7780548330905,7.61306669695222
Brie_Lage3_1,Lage3,261.869210691818,324.768390648101,58.5727327438018,143.137730570125
Brie_Lage3_2,Lage3,254.147281149792,306.022029450712,194.836346186896,229.432537580533
Brie_Lage3_3,Lage3,272.508313616387,192.294104853219,9.00492953908067,106.643010424755
Brie_Lage3_4,Lage3,247.626540647637,298.344948198448,17.9998590781613,862.958070104076
Brie_Usp10_1,Usp10,214.336444399791,220.324378262648,71.3952918739807,120.89876048154
Brie_Usp10_2,Usp10,198.20619157867,197.114597732547,0.01,622.130932478115
Brie_Usp10_3,Usp10,167.490071844832,154.622845685132,242.681716075623,466.077988523171
Brie_Usp10_4,Usp10,151.531417457979,173.190670109213,0.392762959109816,15.4062100613282
Brie_Usb1_1,Usb1,226.176736364231,186.223854560731,22.4016331079242,44.1077868423229
Brie_Usb1_2,Usb1,269.076344931042,221.752672449116,82.6867991677202,197.119504118486
Brie_Usb1_3,Usb1,187.5670886541,168.727250776501,13.9808480075083,120.518607146693
Brie_Usb1_4,Usb1,216.738822479532,236.39268786041,31.3965626470049,140.476657226192
Brie_Mau2_1,Mau2,282.461022803888,288.882499213099,56.4675364686978,139.906427223921
Brie_Mau2_2,Mau2,199.578979052808,239.606349779962,121.345858037812,74.9002069649793
Brie_Mau2_3,Mau2,203.697341475221,241.927327832972,7.47387770264141,8.75352670149505
Brie_Mau2_4,Mau2,241.963792316817,230.143900794614,0.96690739777454,0.770306669695222
Brie_Uba5_1,Uba5,152.732606497849,119.98671166329,205.170946082861,5.71230002271416
Brie_Uba5_2,Uba5,216.567224045265,197.650208052473,11.1101258141847,5.71230002271416
Brie_Uba5_3,Uba5,219.484397427808,183.367266187795,3.64624811154325,1.15046000454283
Brie_Uba5_4,Uba5,250.372115595912,276.02785153489,157.134194714579,72.9994402907413
Brie_Vma21_1,Vma21,113.093368182115,162.835537257322,19.7222923941555,454.483311810319
Brie_Vma21_2,Vma21,73.9689251691832,79.1017905756508,0.392762959109816,35.7444134756754
Brie_Vma21_3,Vma21,112.406974445046,139.090146407296,0.392762959109816,0.200076667423805
Brie_Vma21_4,Vma21,180.359954414876,203.720458344961,4.60315550931779,124.510217162593
Brie_Wdr48_1,Wdr48,198.720986881471,201.578017065259,165.36359833544,226.011157566905
Brie_Wdr48_2,Wdr48,166.288882804962,180.867751361477,81.155747331281,431.864188386886
Brie_Wdr48_3,Wdr48,118.584518078667,126.056961955778,37.9035329518718,61.2146869104653
Brie_Wdr48_4,Wdr48,220.513988033412,224.966334368668,90.9162027885813,120.328530479269
Brie_Mrps16_1,Mrps16,293.443322596991,246.569283938993,28.3344589741264,187.235517412448
Brie_Mrps16_2,Mrps16,264.443187205827,224.073650502126,28.9086034127911,77.181126974065
Brie_Mrps16_3,Mrps16,150.84502372091,143.732102513316,0.392762959109816,24.3398134302471
Brie_Mrps16_4,Mrps16,194.43102602479,167.298956590033,54.9364846322586,537.926968809369
Brie_Pfdn4_1,Pfdn4,240.247807974145,201.756553838567,165.172216855886,8.56345003407124
Brie_Pfdn4_2,Pfdn4,136.773952110995,94.2774163068704,0.392762959109816,15.9764400635997
Brie_Pfdn4_3,Pfdn4,238.70342206574,222.109745995733,20.6791997919301,279.992931115265
Brie_Pfdn4_4,Pfdn4,160.626134474143,156.408213418217,34.6500477994383,42.3970968355086
Brie_Timm22_1,Timm22,195.975411933195,169.084324323118,25.6551182603577,38.0253334847611
Brie_Timm22_2,Timm22,217.253617782334,222.823893088966,0.96690739777454,403.922918275586
Brie_Timm22_3,Timm22,170.578843661643,198.00728159909,69.4814770784316,24.9100434325185
Brie_Timm22_4,Timm22,139.00473175647,127.485256142245,0.775525918219632,3.4313800136285
Brie_Pop7_1,Pop7,338.573710809277,318.341066808996,396.743807117324,594.379739034239
Brie_Pop7_2,Pop7,235.614650248929,251.56831359163,35.7983366767678,16.7367467332949
Brie_Pop7_3,Pop7,194.259427590523,199.435575785557,106.609484112084,47.1490135211037
Brie_Pop7_4,Pop7,149.643834681039,149.980889579112,51.4916180002702,3.6214566810523
Brie_Nhlrc2_1,Nhlrc2,328.106206318975,302.80836753116,4.7945369888727,18.8275900749567
Brie_Nhlrc2_2,Nhlrc2,230.809894089446,202.64923770511,0.96690739777454,0.01
Brie_Nhlrc2_3,Nhlrc2,66.7617909299588,94.098879533562,89.0023879930322,3.4313800136285
Brie_Nhlrc2_4,Nhlrc2,256.721257663801,249.604409085236,17.8084775986064,11.6046767128521
Brie_Ube2d2a_1,Ube2d2a,126.992841357762,127.485256142245,90.1506768703616,140.476657226192
Brie_Ube2d2a_2,Ube2d2a,213.993247531256,174.797501068989,172.636094558527,316.867804595484
Brie_Ube2d2a_3,Ube2d2a,175.898395123928,129.449160648638,173.784383435856,65.3963735937891
Brie_Ube2d2a_4,Ube2d2a,198.720986881471,219.431694396106,43.2622143794092,168.227850670068
Brie_Setd5_1,Setd5,181.046348151945,205.862899624662,27.1861700967969,15.596286728752
Brie_Setd5_2,Setd5,147.413055035565,170.155544962969,61.6348364166804,93.5277203725123
Brie_Setd5_3,Setd5,200.093774355609,148.731132165953,84.2178510041595,116.146843795945
Brie_Setd5_4,Setd5,200.608569658411,194.793619679537,21.6361071897046,39.5459468241515
Brie_Spen_1,Spen,185.679505877161,250.140019405162,16.660188721277,488.126881944332
Brie_Spen_2,Spen,197.691396275868,182.83165586787,25.6551182603577,111.39492711035
Brie_Spen_3,Spen,234.585059643326,259.423931617202,173.401620476747,162.905703982201
Brie_Spen_4,Spen,188.253482391169,160.69309597762,181.056879658943,65.9666035960605
Brie_Zkscan3_1,Zkscan3,230.295098786645,264.601498043148,90.9162027885813,151.691180604197
Brie_Zkscan3_2,Zkscan3,153.075803366384,153.194551498664,17.2343331599417,33.4634934665897
Brie_Zkscan3_3,Zkscan3,200.608569658411,208.719487997598,428.513132723439,339.867081353764
Brie_Zkscan3_4,Zkscan3,171.436835832979,148.374058619336,14.3636109666181,180.962987387463
Brie_Tfam_1,Tfam,118.927714947202,116.41597619712,8.04802214130613,30.9924967900803
Brie_Tfam_2,Tfam,177.6143794666,233.893173034091,0.584144438664724,11.2245233780045
Brie_Tfam_3,Tfam,207.472507029101,261.209299350287,57.2330623869175,138.575890551954
Brie_Tfam_4,Tfam,207.129310160566,156.408213418217,18.9567664759359,3.6214566810523
Brie_Rnf31_1,Rnf31,45.8267819493548,82.3154524952032,323.253318968239,0.200076667423805
Brie_Rnf31_2,Rnf31,201.809758698282,185.15263392088,0.584144438664724,28.1413467787232
Brie_Rnf31_3,Rnf31,271.993518313585,229.072680154763,18.5740035168261,107.783470429298
Brie_Rnf31_4,Rnf31,204.555333646558,183.367266187795,156.36866879636,209.28441083361
Brie_Vcpip1_1,Vcpip1,195.803813498928,194.615082906229,22.975777546589,316.487651260636
Brie_Vcpip1_2,Vcpip1,67.9629799698296,79.4588641222677,45.5587921340681,8.94360336891885
Brie_Vcpip1_3,Vcpip1,191.34225420798,153.194551498664,31.3965626470049,12.745136717395
Brie_Vcpip1_4,Vcpip1,149.987031549573,193.722399039686,30.8224182083402,55.3223102203274
Brie_Sgf29_1,Sgf29,185.336309008626,161.585779844162,177.803394506509,49.810086865037
Brie_Sgf29_2,Sgf29,161.827323514013,161.050169524237,8.43078510041595,60.4543802407701
Brie_Sgf29_3,Sgf29,150.330228418108,179.796530721626,44.6018847362935,0.390153334847611
Brie_Sgf29_4,Sgf29,362.08269630389,297.809337878523,26.6120256581322,53.4215435460893
Brie_Rprd1b_1,Rprd1b,231.153090957981,280.134197320984,35.9897181563227,332.454091324236
Brie_Rprd1b_2,Rprd1b,219.312798993541,208.183877677672,37.1380070336521,42.3970968355086
Brie_Rprd1b_3,Rprd1b,202.667750869618,185.509707467497,146.416831859505,0.200076667423805
Brie_Rprd1b_4,Rprd1b,287.437377397638,434.568506232808,13.0239406097337,132.87359052924
Brie_Mrps33_1,Mrps33,196.833404104532,206.219973171279,137.996046759089,28.7115767809946
Brie_Mrps33_2,Mrps33,146.040267561427,177.654089441924,159.622153948793,122.419373820931
Brie_Mrps33_3,Mrps33,127.336038226297,147.302837979485,0.392762959109816,12.3649833825474
Brie_Mrps33_4,Mrps33,183.105529363152,216.396569249862,0.584144438664724,63.1154535847034
Brie_Sephs1_1,Sephs1,151.874614326513,137.483315447519,114.26474329428,179.062220713225
Brie_Sephs1_2,Sephs1,187.052293351299,217.289253116404,340.286270648626,27.1909634416042
Brie_Sephs1_3,Sephs1,183.105529363152,132.662822568191,51.87438095938,197.689734120758
Brie_Sephs1_4,Sephs1,199.922175921342,215.503885383319,74.840158505969,34.9841068059802
Brie_Arnt_1,Arnt,232.697476866386,245.319526525833,201.726079450873,198.450040790453
Brie_Arnt_2,Arnt,274.22429795906,243.177085246132,195.219109146006,364.196894784011
Brie_Arnt_3,Arnt,149.987031549573,181.224824908094,325.549896722898,161.955320645082
Brie_Arnt_4,Arnt,186.537498048497,200.3282596521,53.2140513162644,72.6192869558937
Brie_Mbip_1,Mbip,197.519797841601,262.816130310063,120.388950640037,532.224668786655
Brie_Mbip_2,Mbip,192.028647945049,219.788767942723,82.4954176881653,143.517883904973
Brie_Mbip_3,Mbip,203.354144606687,210.683392503991,574.537201623834,0.580230002271416
Brie_Mbip_4,Mbip,218.454806822205,234.250246580708,44.7932662158485,203.201957476048
Brie_Ripk1_1,Ripk1,255.005273321128,249.782945858545,80.1988399335064,212.705790847238
Brie_Ripk1_2,Ripk1,177.957576335134,176.047258482148,106.800865591639,404.683224945282
Brie_Ripk1_3,Ripk1,232.869075300653,237.999518820186,99.5283693685521,273.340247755432
Brie_Ripk1_4,Ripk1,210.732877280179,188.366295840432,9.19631101863558,269.158561072108
Brie_Anapc13_1,Anapc13,209.531688240308,172.655059789287,123.833817272025,148.459877257992
Brie_Anapc13_2,Anapc13,171.265237398712,195.507766772771,65.0797030486687,26.2405801044851
Brie_Anapc13_3,Anapc13,349.727609036648,322.625949368399,141.249531911522,569.669772269145
Brie_Anapc13_4,Anapc13,81.519256276942,81.2442318553524,0.392762959109816,14.645903391633
Brie_H2ac4_1,H2ac4,206.957711726299,196.578987412622,10.1532184164101,4.57184001817133
Brie_H2ac4_2,H2ac4,222.744767678886,194.079472586303,9.38769249819049,146.178957248906
Brie_H2ac4_3,H2ac4,171.436835832979,165.870662403566,0.201381479554908,7.80314336437602
Brie_H2ac4_4,H2ac4,180.016757546341,164.085294670481,6.13420734575705,0.01
Brie_Nsmce2_1,Nsmce2,230.295098786645,206.398509944588,8.62216657997086,269.158561072108
Brie_Nsmce2_2,Nsmce2,164.229701593755,193.186788719761,163.449783539891,65.7765269286367
Brie_Nsmce2_3,Nsmce2,205.241727383627,205.327289304737,5.17729994798251,29.4718834506898
Brie_Nsmce2_4,Nsmce2,252.088099938585,228.001459514912,0.775525918219632,92.3872603679694
